	Comments	Date	Likes	Number	Text	Time
0	-	-	-	-	-	<module 'time' (built-in)>
1	-	30 August 2017	-	#41	29/08/2017 02:34:50 (Male)is this arjun verma? 2k10 batch	20:11
2	-	21 March 2017	-	#40	20/03/2017 20:09:34 (Male)To some girls of our batch, don't send debugging requests only to Yahnit, there's a guy called Subramanyam who is way better than Yahnit at it and is feeling jealous of Yahnit.	09:48
3	-	24 February 2017	-	#39	23/02/2017 23:44:36 (Female)Don't you think Karthik Ganti sir is  cute !	20:00
4	-	22 February 2017	-	#38	23/02/2017 00:25:52 (Female)Arjun when you enter the class I feel like playing with your boobs. You have got pretty good tits man. Looking forward to get a touch of them. Your silent admirer. Please do comment if you are not committed to someone else so that I catch the signal.	19:58
5	-	20 February 2017	-	#37	20/02/2017 02:26:01 (Male)Wow!!! Girl who made the last confession knows exactly what aliens look like. Cool !!! Please girl, start watching some hot stuff like Game of Thrones instead of Koi Mil Gaya (Jaadu) xD	08:59
6	-	18 February 2017	-	#36	17/02/2017 21:01:46 (Female)There's this guy who looks like an alien and is always studious . He sits beside Shashwat, I guess. Can I know his name?	14:25
7	-	14 February 2017	-	#35	14/02/2017 16:51:06 (Male)When u wanted to wish valentine but all u ended up wishing was HAPPY BDAY MA'AM.... :-/	11:24
8	-	14 February 2017	-	#33	14/02/2017 08:30:49 (Male)Will any of u (ojaswi,gunjan,aditi,arpita,vaishnavi) be my valentine today💑, I  m soo fucking lonely and single😂😂,ill make it a memorable day for you,i promise, please Happy Valentine's day💝💝	03:56
9	-	12 February 2017	-	#32	12/02/2017 09:19:55 (Male)Referring to #8: Well, Ojaswi, I just wanted to say that I'm so in love with you that I wanna give you the ride of your life.	11:15
10	-	11 February 2017	-	#31	12/02/2017 00:51:42I love akhil akkireddy sir and his pawanism ! please sir,forget all others and start bothering about me.I like your attitude !!	21:26
11	-	11 February 2017	-	#30	11/02/2017 15:24:12Arjun bhai might have to face some consequences for not tagging aanshul sadaria in the gujju gang post. Arjun bhai is in danger.	10:28
12	-	11 February 2017	-	#29	11/02/2017 11:07:44(Female)	08:35
13	-	10 February 2017	-	#28	10/02/2017 12:39:21 (Female)Why everyone in our batch call Kunal Garg Muthu?  What's the meaning of that?	15:38
14	-	10 February 2017	-	#26	(Part-2) 10/02/2017 15:07:24(Male)	10:12
15	-	10 February 2017	-	#27	"10/02/2017 12:23:29""Hey ..!! This is for a girl in our batch... Y r u so much isolated from ur social  surroundings ... I know u think tht involving much wid us shall  divert you from your academic goals bt being tht much surrendered against the system ... I don't think that it will lead you to anythng good...!!  Plz try to come out of ur… More virtual scary(book-ish..!!) world ...and at least try to be little bit adventurous ....!! No need of name  of the girl or mine()...neither m her lover ...!! Just that sad expression on her face slams me evrytime I see her.So I am posting this....!! if u r reading this please...rethink ..!! "" :)"	07:59
16	-	10 February 2017	-	#26	(Part-1) 10/02/2017 03:38:30(Male)	05:20
17	-	9 February 2017	-	#25	09/02/2017 19:25:27I have masturbated while looking at Quantico seasons in the workspace....	14:00
18	-	9 February 2017	-	#24	05/02/2017 16:18:48I want to confess that I have masturbated in workspace.	12:43
19	-	9 February 2017	-	#23	09/02/2017 05:20:36HELLO	04:20
20	-	9 February 2017	-	#22	09/02/2017 04:47:26Anything between Shovan & Nikita??   - UG2	04:12
21	-	9 February 2017	-	#21	09/02/2017 01:54:09Yashaswi Pathak yOu aRe a CHuTiYa. BaCHpAn se ho ya koi CouRsE kIYe HO BhaI ??	03:19
22	-	7 February 2017	-	#20	2/8/2017 0:09:00 (Male)Baby, I wore the Batman sweater today. So, I'm up for it.   -  Mashrukh	19:59
23	-	6 February 2017	-	#19	2/7/2017 1:14:20 (Male)Did something happen between arpita and projit?	20:00
24	-	6 February 2017	-	#18	2/7/2017 0:49:41 (Female)Mashrukh, you are a cutie pie. But I am afraid that when you will sleep over me I'll die out of tremendous pressure exerted by your tummy. Please baby, workout HARD for me, please baby. Trust me, I'm worth it. When you are slim I'll ask you out in public, in front of Himalaya. If you are up for it, please wear your batman sweater to the exam tomorrow. I'll know and I'll wait for you to lose your tummy.	19:57
25	-	5 February 2017	-	#17	2/6/2017 3:24:13 (Male)I really don't understand how Gunjan is able to handle Neal. I mean, has she just grown immune to that dumb voice? Gunjan, save yourself.	22:45
26	-	5 February 2017	-	#16	"2/5/2017 23:38:11 (Female)""Swapnil jab hum pehli baar agni house ki freshers practice me mile the uss din se me sirf tumare bare me soch rhi hu. Hum dono ne jab ek saath gana gaya tha vo meri life ka sab se acha din tha, fir roz mess me hum log milte the. me humesha tumese kehna chati thi that how much i love you <3 please kal red shirt pehna agar tum b mujse pyaar karte ho toh""     -  you know me swapnil"	18:17
27	-	5 February 2017	-	#15	2/5/2017 21:39:53 (Male)I am getting bored as not having sex from 2 day my roomie Mohit Kuri is studying while Kanay Gupta also is busy fucking Mudit Surana pls i want sex come to 305 now pls i want sex......... - Samyak Jain	16:27
28	-	5 February 2017	-	#14	2/5/2017 20:38:11 (Male)I was just, sort of stalking, and found dat Arpita Dash has just blocked me.. why Arpita?? - *past friend now😢*	15:28
29	-	5 February 2017	-	#13	2/5/2017 18:39:45 (Male)Neha Motlani, akal badi ya bhains?	13:33
30	-	5 February 2017	-	#12	"2/5/2017 15:49:21 (Female)""Can I get the contact of Maneesh Vidhate? I kinda have a crush on him. He is fucking hot. I'm ready to do anything for you darling. PS - Admin please tag Maneesh so that he gets the notification."""	10:22
31	-	5 February 2017	-	#11	2/5/2017 15:29:38 (Male)Is there any gay in our batch? Because I am gay. AND I NEED A PARTNER.	10:11
32	-	5 February 2017	-	#10	2/5/2017 11:11:32 (Male)I want to know more about Atreyee Ghoshal and is she single ?	09:35
