	Comments	Date	Likes	Number	Text	Time
0	-	1 March 2013	-	#293	Dear Ajitesh Gupta, I think you're very cute...I love your skin, your eyes :) You're one of the most patient people I've ever met. Will you be interested in going out with me some day? PLEASE!!! :( -Your secret admirer	08:50
1	-	1 March 2013	-	#290	@ #254: Do you look belong to the league of Angelina Jolie or Megan Fox, because I think that would be the only reason for your demand of Tom Cruises and Brad Pitts in our college.	08:48
2	-	1 March 2013	-	#292	There is power cut only on the day i have no classes :( :( :( #FML	08:45
3	-	1 March 2013	-	#291	<redacted> One time I saw <a couple> making out near the faculty quarters, it looked like he was trying to strangle her. I did not know whether to shout for help or not :P :P	08:44
4	-	1 March 2013	-	#289	If love is chemistry, I'm a noble gas.	08:40
5	-	1 March 2013	-	#288	i told my mother about my friend's internship application getting accepted. now she wants me to build my resume. sadly doesnt differentiate between an 8 pointer cse guy and a 6 pointer ece guy #forever-ece	08:40
6	-	28 February 2013	-	#287	Happenings @ IIITH masturbate first time in life - checked First kiss in public premises - checked feeling b***s with my own hands - checked . . . lost virginity (with mtech) - checked (All with different girls \m/)	21:37
7	-	28 February 2013	-	#286	the coolest punishment you can ever get....for getting late to class is getting allowed to sit next to your crush on the grand day of feb...	21:36
8	-	28 February 2013	-	#285	@admin...good to have you back, atleast on this page.. :) Somehow, you have managed to earn that trust and love from everybody. kudos to that !!! hoping for a new compliments page from you soon..!!	21:35
9	-	-	-	-	-	21:35
10	-	-	-	-	-	21:35
11	-	-	-	-	-	21:35
12	-	-	-	-	-	21:35
13	-	28 February 2013	-	#284	@Prashanth Garapati {	21:17
14	-	28 February 2013	-	#283	@ Sheetal Reddy {	21:17
15	-	28 February 2013	-	#282	@snigdha aggarwal { Thanks for accepting my friend  request  , } UG2 Guy	21:17
16	-	28 February 2013	-	#281	@ Apurva Kumar {	21:17
17	-	28 February 2013	-	#280	@Admin	21:16
18	-	28 February 2013	-	#279	@Sudhanshu sir	21:16
19	-	28 February 2013	-	#278	@Palash Jain Sir.. I found your CT tute. very valuable :D	21:15
20	-	28 February 2013	-	#277	@Prof. B. Yegnanarayana { You are my true admirer.  }	21:15
21	-	28 February 2013	-	#276	@Pramod-MS { Meraa Dil Bhii Kitanaa Paagal Hai  Ye Pyaar Jo Tum Se Karataa Hai	21:15
22	-	28 February 2013	-	#275	@Simran Kedia {   You give me the reason to get up every morning.   I want to say something to you everyday, but I forgot when I start looking at you.   may be some day...... }      #ug1?   PS:Its funny n kinda cute how play supersis for ur bro ;)	21:15
23	-	28 February 2013	-	#274	@Kshitij Mishra Sir I am a fan of the way you play the flute. Many time I have my breakfast in OBH just to listen to the sweet sound of flute coming near the entrance of OBH. If only you could have given a me a more attention than the flute :-/. #Junior	21:14
24	-	28 February 2013	-	#273	@Yasodha { i thought i could be your  best half but miss u.................. lucku v***k..... where ever you are be happy............. } #pg1 guy.....	21:14
25	-	28 February 2013	-	#272	"@<Surekha Sir> { Aap itna senti post kyun maarte ho. Mujhe to rona aa gaya. Aur aapki waterfall wali dp to ""bhaukaal"" hai. I couldn't resist myself. Kaise kar lete ho.  } #AapkiAdmirer"	21:13
26	-	28 February 2013	-	#271	@dinesh chowdary { I have seen u in JDA drive in MSIT lab, you really rock with ur manly looks may be i hav fallen for u, i hav been waiting to talk to you }	21:13
27	-	-	-	-	-	21:13
28	-	28 February 2013	-	#269	@AllJuniorGirls { The beauty quotient of girls in junior batches has escalated very quickly and very brightly. Saw most of you in this felicity and boy! you all are beautiful. Compliments to each of you.  } #Alumnus-ug08	21:12
29	-	28 February 2013	-	#268	@Anshul Bhargava Sir { Hands down, you are the cutest and sweeetest guy I ever met in my life. Your calm and loving nature made me fall for you as soon as I met you. I don't know if you shed such feelings for me, but I'll always be curious :) Hope to be asked out by you someday, before you graduate <fingers crossed> } #UrJunior&Admirer	21:12
30	-	28 February 2013	-	#267	@Dhrumil Upadhyaya { I am such a big fan of yours that i downloaded that pic of you with guitar  and made it my desktop wallpaper :) :) And ur dressing sense is the best... } #Your Admirer	21:11
31	-	28 February 2013	-	#266	@<Pranav Kumar Vasishta> { Sir, I love your knowledge and passion for knowledge. You Rock } #Your_Secret_Admirer_for_2_years #UG3	21:10
32	-	28 February 2013	-	#265	@Sravanthi Reddy {	21:10
33	-	28 February 2013	-	#264	<Mansi> Its Difficult To Forget Some... Who Was Yours And Changed Ur Life.... But Its Even More Difficult To Forget Someone... Who Was Never yours But Had Changed Ur Life... sorry.:)	21:10
34	-	28 February 2013	-	#263	@mounika banda(bannu) { nidurinche kanulaki telusu kalalonu nuvvenani.. peelche ee swasa ki telusu upiri nee korakenani.. vese prati adugu ki telusu payanam ne darikenani.. eduruchuse manasu ki telusu… More dhari cheri varamisthavani.. } #UG3 # http://t0.gstatic.com/images?q=tbn:ANd9GcQeM3DvEPfzy1GQrHvrEPw4djlQVq2pKucvkDfHlQq7wGTG4g6fyQ	21:10
35	-	28 February 2013	-	#262	@ADMIN (OF FOSLA alias IIIT compliments page) {	21:09
36	-	28 February 2013	-	#261	"@Maunica Bonda ... { I like your honesty ........No one knew about...""Covalent radius""....but u wr the only person who accepted !! "" (y) (Y) keep it up :) }"	21:04
37	-	28 February 2013	-	#260	@Bai { U can become good if you leave your group.. Alwayz trying to help them and u are loosing your gem.. With new member added your value has faded... U can become good if you leave your group.. } PG1	21:03
38	-	28 February 2013	-	#259	adatrav(hari) { ur dance is https://www.youtube.com/watch?v=62c63igwZXQ }	21:02
39	-	28 February 2013	-	So	starting #259 we have a flurry of Compliments. Whether we make it a permanent feature (combining compliments and confessions) is something we'll decide later. For now, here are the Compliments you sent in over the last two days. Extremely sorry for the delay.	21:02
40	-	-	-	-	-	21:02
41	-	-	-	-	-	21:02
42	-	28 February 2013	-	#258	"@204 Yes, we are on the same Page. And by We, I mean you and ""us"" all. And we do not want to start a Civil war here in our camp."	20:57
43	-	-	-	-	-	20:57
44	-	28 February 2013	-	@admin,	the girls who made the new compliments page had reported your page! Pls pls do something about it, we don't want to get stuck with that page. In your post below that page has liked some comments, see them and it will clear your doubts that they are the culprits. #AwellWisher :)~~~ <speechless and blank>.	20:54
45	-	28 February 2013	-	#257	Fapped 7 times on a lonely Sunday.	20:52
46	-	28 February 2013	-	#256	I feel intimidated sometimes to walk near the NBH late in the night. #tharakboys #Ug1Girl	20:52
47	-	-	-	-	-	20:52
48	-	28 February 2013	-	#255	I thought life of a vegetarian was simple until I became one :P	20:50
49	-	28 February 2013	-	#254	There is a lack of good-looking men in this college.	20:50
50	-	28 February 2013	-	#253	@191	20:49
51	-	28 February 2013	-	#252	I am the Robin-hood of OBH.   Mai shop se ice-cream churata  hun aur garib doston mein baat deta hun :P :) :)	20:49
52	-	28 February 2013	-	#251	"""A new compliment page set up by us girls to realize its true spirit & not just post anything to hurt someone's feelings.This page is a true compliment page & not a proposal page."" - ladki kare toh true spirit, ladka kare to character dheela, waah !!! :D"	20:48
53	-	28 February 2013	-	#250	@admin...we miss your page a lot... i am a girl myself, but do not support the idea of the new compliments page set up by so-called girls.. that just shows how sore loser can a person be... and they are doing nothing but only showing girls in bad light..too much disappointed... :/	20:48
54	-	28 February 2013	-	#249	Puni_hment from 15 gb   to 400 Gb :)tht's a story of server  R . I . P Puni_hment I want it to be reached 2 evry1 :(thnks fr D compliment	20:48
55	-	28 February 2013	-	#248	Virginity is not a dignity its a lack of oppurtunity.......	20:47
56	-	28 February 2013	-	#247	Achievement unlocked: Did not bath in Valentines' + Felicity month xD	20:47
57	-	28 February 2013	-	#246	Saw some HCU chic at Felicity, the one that got hit by the ball on her hand. Saw her at face painting too..any clue who she is? Crazy pretty--should've talked to her!	20:47
58	-	28 February 2013	-	#245	I think the prev complmnt page was reported coz some grls were upst tht dere frnds got complmntd n they didnt....	20:47
59	-	28 February 2013	-	#244	Dear IIIT Confessions admin,	20:47
60	-	28 February 2013	-	#243	It is disheartening to see big tech companies going after beauty(bimbos) rather than talent. Didn't expect today's result to be this way.	20:46
61	-	28 February 2013	-	#242	For the first time I flirted with a girl on facebook :D	20:46
62	-	28 February 2013	-	#241	I miss BC of IIIT compliments :P	20:46
63	-	28 February 2013	-	#240	@SAHITI don't know wat to say but U simply rock.. and I mean it.. U may or may not know who posted this but I like your attitude and your confidence..  keep rocking ! :)	20:46
64	-	27 February 2013	-	#239	I used to attend tutes just to watch my beautiful co-TA.	07:46
65	-	27 February 2013	-	#238	I can't even understand 95% of terms our IAS sir uses in his lecture. #PG1	07:46
66	-	27 February 2013	-	#237	I am sitting near a hot gal in class and want to post a compliment for her but scared that she might find out that it was me ;)	07:46
67	-	27 February 2013	-	#236	Coming to IIIT was the worst decision of my life.. Now I am trapped.	07:46
68	-	-	-	-	-	07:46
69	-	26 February 2013	-	#235	I was daily jacking off after seeing the curvy shapes of one girl.. Later I found out one day.. She oftentimes used not to wear inner.. Fuck my luck I loose a great opportunity.. :(	20:42
70	-	26 February 2013	-	#234	Its really hard to see some one fucking your laptop and you r not able to express your feeling	20:04
71	-	26 February 2013	-	#233	Today is my Birthday ... and you know who wished me first??? any guesses? . . . . Myself .. :P by playing happy birthday tune on my keyboard :P	20:03
72	-	26 February 2013	-	#232	Hooked up with a hot HCU student during Felicity. The amazing part--she wanted exactly what I wanted--a one-time make-out session. And God, it was so intense and passionate. I don't even know her name.	18:59
73	-	26 February 2013	-	#231	"I realized how pretty our college girls were when Felicity happened. Will NEVER complain about ""lack of girls"" at college again."	18:58
74	-	26 February 2013	-	#230	Almost posted a confession with my name. :P	18:57
75	-	26 February 2013	-	#229	i hate the fact that the number of girls joining IIIT-H has significantly  increased after our batch passed out. why god why? #FML	18:47
76	-	26 February 2013	-	#228	I'm in a relation with a girl(jr), now I like her friend better :|  I wish I would break up with her and pursue her friend :( #guilt	18:24
77	-	26 February 2013	-	#227	I'm feeling damn jealous when I see someone complimenting my crush.	18:24
78	-	26 February 2013	-	#226	I masturbate standing next to my window so you can see me through yours.	18:01
79	-	26 February 2013	-	#191	"Awkward virgin here.  Just wanted to know from someone who's done ""it"", how does the first time feel?#225 If you are a guy, try not to get too excited. Try to hold it in! :P"	17:51
80	-	26 February 2013	-	#224	Our humanities courses teach that jacking off leads to loads of problems!! Wtf?	17:50
81	-	26 February 2013	-	#223	I think IIITians should be more matured enough to not think every gal and guy walking or talking to be in a relationship.	17:40
82	-	26 February 2013	-	#222	@#220 awesomeness of sex (for that matter any sexual activity) follows a sin curve :P~~~ #220	16:46
83	-	26 February 2013	-	#221	I wish that felicity nights take place daily so that I can see beautiful legs of beautiful girls of the campus... Seriously we got some hot girl community here who always keep themselves in covers...	16:31
84	-	26 February 2013	-	#220	Is it true that the first sex is only the real good one, and after that it sucks?	16:30
85	-	26 February 2013	-	#219	I Confess I posted a Compliment praising myself	16:30
86	-	26 February 2013	-	#218	our college's cult facilities suck, agree?	16:01
87	-	26 February 2013	-	#217	there is a girl in ug3 and she is soooo demanding!! I pity her bf! She always goes for the sissy guys and i have never seen her mouth shut. Arghhh. Puts me off!!	16:01
88	-	26 February 2013	-	#216	<<<>>> sir:  please don't smoke so much!! It's disgusting!!	15:49
89	-	26 February 2013	-	#215	I hate the tharki scene at college! Cmon guys, give the girls some space!!!!	15:45
90	-	-	-	-	-	15:45
91	-	26 February 2013	-	#214	The beauty quotient of girls in junior batches has escalated very quickly and very brightly.  Saw most of you in this felicity and boy! you all are beautiful. Compliments to each of you.	15:28
92	-	26 February 2013	-	#213	I feel like crying (and sometimes I cry) when I realize that i have just 2 months for my college life to end . I will miss my frnds a lot #lastsemester #UG4GUY	15:28
93	-	26 February 2013	-	#212	"I am a fat MTech girl and am getting so much ""bhaav"" in this college. My fellow fat friends in NIFT don't get even half of it. Thanks tharki guys! :*#212 I am a fat MTech girl and am getting so much ""bhaav"" in this college. My fellow fat friends in NIFT don't get even half of it. Thanks tharki guys! :*"	15:28
94	-	26 February 2013	-	#211	I drunk so much that I slept in bathroom. #Farewell	14:58
95	-	26 February 2013	-	#210	@#202 I have to confess.. Things didn't go as mentioned... The girl came, sat... and went out with her boyfriend/friend.. and I kept staring at this page. #ForeverAlone	14:07
96	-	26 February 2013	-	#209	"@Admin ""Girlfriends/Boyfriends aren't time swamps."""	13:36
97	-	26 February 2013	-	#208	I change my DC nick when I download stuff.	13:35
98	-	26 February 2013	-	#207	@AdminWell you wouldn't be so vella if you actually had a girl-friend ...or maybe your girl-friend is way too generous to spare you so much time! :P	13:26
99	-	26 February 2013	-	#206	Google is my real friend. You gave me everything I ask. But in return you never asked me anything.	13:24
100	-	26 February 2013	-	#205	@ #191 Takes a little bit of an effort for the first time. Trust me its more abt the passion than the fucking. Make sure the first time is with someone spl. Fuck and chuck looks grt only in two and a half men!	13:24
101	-	26 February 2013	-	#204	@161 I think you are on the right track from whatever I deduced through your comment !!!	13:23
102	-	26 February 2013	-	#203	I wonder the state of this page if the Admin happens to get committed/hooked to a girl? o_O	13:21
103	-	26 February 2013	-	#202	"@ #201 :  Yeah :D Having a ""blast"" now...! Labs are fun.. College should open up labs for everything!"	13:21
104	-	26 February 2013	-	#201	So did anyone get slapped by a girl after these pages started? If you would like to confess under anonymity, this is the page :D	12:46
