	Comments	Date	Likes	Number	Text	Time
0	-	14 April 2016	-	-	Is Devansh single? :pAdmin : Nope, Devansh and I have been quite the couple for years now. Childhood sweethearts. <3  Wait for it.....  #Bros4lyf.	05:19
1	-	14 April 2016	-	-	There's a guy i just can't get over. He has the cutest face anyone could imagine. I sit across him in hss and can't stop looking at him. I hope he realises who this is and messages me. P.S: Thanks for this opportunity admin :PAdmin: It better not be me. :P	05:17
2	-	14 April 2016	-	-	"""Any single chick out there, wanna go out on a date?  Meet me at 8 pm sharp at the juice canteen... I don't like late comers.  And seriously guys, if I see any one of you hanging around there, I will sue you. ""Admin : Hey, there is MP elections from 8:15. Please be there. We don't like late comers either."	05:15
3	-	14 April 2016	-	-	Confession again regarding post related to satyam as a cute puppy .I came to know from a Cse Guy that he may look as cute chottu from outside but internally he is a very irritating and disturbed person who is self centered and is master at making fool of others.I hope this confession will reveal his true identity Thanks to admin for building such platform.Admin: Satyam #Nahiphoda #Nahimachaya #party--.	05:12
4	-	14 April 2016	-	-	"""i want to know who the hell are you so ping me on fb medha""Admin : Of course."	05:06
5	-	14 April 2016	-	-	"""Sukumar you dance so well that I fall for u every time i see u dance  I don't know how to start such type of conversation with u although I chat with u every now and then  Hope this page helps me ""Admin : Still a better love story than Twilight. :P :D"	05:00
6	-	14 April 2016	-	-	Megh Parikh, are you taken? I always wanted a boy friend like you. Please tell me that you are single. Ping me if you are ready.Admin: Hey Megh, would you mind pinging ANONYMOUS? He/she wants to be unbhaizoned.	04:51
7	-	13 April 2016	-	-	Admin, many of the chicks are fawning over your witty responses. U seem to be a cool dude. :* Hope you don't have a girlfriend! ;) On behalf of some of Ug2k15 Chicks....hehe XOXOAdmin: How does me not having a girlfriend affect you? Don't worry, you don't stand a chance. I have someone in mind, already. <3 And I know UG2k15 girls are not this retarded :)	08:45
8	-	13 April 2016	-	-	"Please don't be stupid by wasting you time asking me who I am. You will not find out unless I want you to find out... So try not to submit such lame ""confessions""."	08:27
9	-	13 April 2016	-	-	The musician (always has shoes on :P) in group B is <3 . Tell me you're not already dating, please?Admin: Oh shoe wearing musician please tell this lady what she wants to know :P P.S it would help if the subjects name were mentioned ... jussaying :P	08:25
10	-	13 April 2016	-	-	Megh is so damn cute ^_^. I think I can speak for the batch when I say I want him as my brother. :)Admin: The downside of being cute... :P	08:19
11	-	13 April 2016	-	-	Aayush, you are so cute. You are so generous. I loved you from the beginning but I am unable to express my feelings. You know me very well, I want to give you a hint from here that you should perceive and respond.Admin: Congrats , you now got the hopes of half of the boys hostel... Let's try to be more specific next time,yeah?	07:50
