	Comments	Date	Likes	Number	Text	Time
0	-	-	-	-	-	<module 'time' (built-in)>
1	-	20 September 2017	-	#526	Datta likes Anushka agarwal.#ECE#Cocacoalpepsidattabavasexyy#Loverboy#526 Datta likes Anushka agarwal.#ECE#Cocacoalpepsidattabavasexyy#Loverboy	07:09
2	-	20 September 2017	-	#525	I feel that I'll fail in Discrete Maths and DLP Can anyone tell how to pass these?#525 I feel that I'll fail in Discrete Maths and DLP Can anyone tell how to pass these?	07:08
3	-	20 September 2017	-	#524	Kaushik and hari,What's the matter Huh !	07:07
4	-	20 September 2017	-	#523	Who is that pretentious dude hanging around Poojitha all the time? What the hell does he want? If you don't want serious just back off and let me have my chances...	07:07
5	-	20 September 2017	-	#522	Raja from UG2, I find you extremely cute, especially when you smile. I couldn't find your profile, so anyone tag him pls!!. I would like to go out on a date with you. Plssss say okay!!-Your Secret Admirer from UG1	07:06
6	-	20 September 2017	-	#521	Aashna of UG1 are you single I want to date you -UG3	07:06
7	-	20 September 2017	-	#520	Freya badminton khelne aaya kar pls#520 Freya badminton khelne aaya kar pls	07:05
8	-	20 September 2017	-	#519	The ug1 girls are hot on fire man!🔥 But imo Anushka and Ashna are temporary and Kripa and Freya are permanent. You go gals!	07:05
9	-	20 September 2017	-	#518	I am a UG2 CSD boy. Tell me is it wrong for boys to watch and like saas-bahu serials? Why do my friends keep teasing me about the?	07:05
10	-	20 September 2017	-	#517	Vishal reddy sir from ug2 can u plz give ur number . U r so sweet sir . I am unable to find u in fb 🙄	07:04
11	-	20 September 2017	-	#516	Hi I'm back, the girl from #454. I'm sorry to all the other guys getting tagged in there. But I was talking about Sidharth. And ujwal ?? Lol	07:04
12	-	20 September 2017	-	#515	Aasna you really look like a fun person to talk to.Hope to meet you soon.	07:03
13	-	20 September 2017	-	#514	For UG1 guys....  Bc padhai kr lo.. Faltu ki baato m kuch nhi rkha h Kal se mid1 h agar pass na hue to seedha OBH aa jana#your_secret_admirer	07:03
