	Comments	Date	Likes	Number	Text	Time
0	-	5 August 2017	-	-	https://docs.google.com/forms/d/e/1FAIpQLScDcSCnk84fgRagXnbWTubpPsUkQegsM20WMYVmFXLolnX91g/viewform Post them _!_	15:39
1	-	14 November 2017	-	-	Is IIIT H (AIML) 4 months Course worth taking ?ADMIN : Anurag Ghosh Sir!!!!! We need your reply here.( Request by Kiran Kumar )	14:55
2	-	7 October 2017	-	-	Admin Please understand my situation and post this to let that Moth**fuc*r understand that it is irritating to me .  Admin : :)	12:26
3	-	7 October 2017	-	-	**GENUINE** Why does my a**hole Roommate Mast***ate a lot in the Room ?? Also uses Tissues for that and throws them in the room ? Its Fu*king irritating . I cant say to him . Please let this confession tell him . Admin : :)	12:25
4	-	7 October 2017	-	-	#UG1 I apologise to Rohan Bhandari. I know that the post got 50 love reacts. So, without any confusion, I am coming to meet you in front of KCIS today at 10 pm. Please be there. My Batch mates and seniors, I request you to tag him so that he surely comes. Admin please post this fast.	12:25
5	-	7 October 2017	-	-	Is bhasin sir single?? In love with him Admin:Ping him	12:25
6	-	7 October 2017	-	-	i really like eesha gupta 1st year, c is a bit fat but ya c is really cute , i would like to make her my girlfriend for my entire life admin plz plzz plzz tag her	12:24
7	-	1 October 2017	-	-	This is to an #UG1 from #UG1 This one is posting memes to memes And one was on SOT lagani hai PS.- A #UG1, was always impressed with your skills in informals, especially Soumyasis Gunn and Soumyasis Ghum one Please, comment his name If this gets 50 love reacts, I will propose him at Informal Group pakka Admin : :o . Informal group?	22:27
8	-	1 October 2017	-	-	I like the life of Saumya Srivastava. One long distance boyfriend Siddharth. And when he's not here Yaseen. Dono haath me laddu ;) PS: Hume bhi chance do kabhi :D, Admin : No comments :)	22:26
9	-	1 October 2017	-	-	BC. I wrote some confessions on the other page. Literally poured my heart out. Fucking asshole admins of that page stopped posting. Cunts. -_-  Admin : :/	10:16
10	-	1 October 2017	-	-	For the tall girl in UG1: You are simply amazing. Chura liya hai tumne jo dil ko, Nazar nahi churana sanam..... Admin:Who is she?profile Please ;)	10:15
11	-	1 October 2017	-	-	Has any paper of UG-1 has been checked except ES?	10:14
12	-	30 September 2017	-	-	There is a guy in NBH hostel who plays amazing flute and sings sometimes. Never seen him but ya totally in love with his talent Admin : Really? :o	17:08
13	-	29 September 2017	-	-	why is Navya Khare pampered soo much? Just a vayu house party observation o.O  Admin : :o	16:47
14	-	27 September 2017	-	-	Did navya take #420 too seriously xD because she was looking just soo good during vayu house party. Definitely the hottest girl in the campus	17:20
15	-	27 September 2017	-	-	@Sachin chandani....Sir the day I first saw you.....My heart is not mine. My dreams are filled with ur smile. Everyday, Every second I always want to be with you...for ever and ever... - Your secret UG1 stalker....With loads of love	17:20
